link,azimuth_bs_imt,elevation_bs_imt,azimuth_ep_fs,elevation_ep_fs,path_loss_db
EP02-Cell0043,-96.6,-0.9,-10.8,0.9,200
EP02-Cell0044,-216.6,-0.9,-130.8,0.9,200
EP02-Cell0045,-336.6,-0.9,-250.8,0.9,200
EP02-Cell0046,-85,-0.6,0.8,0.6,232.9
EP02-Cell0047,-205,-0.6,-119.2,0.6,232.9
EP02-Cell0048,-325,-0.6,-239.2,0.6,232.9
EP02-Cell0049,-74.6,-0.3,11.2,0.3,245.3
EP02-Cell0050,-194.6,-0.3,-108.8,0.3,245.3
EP02-Cell0051,-314.6,-0.3,-228.8,0.3,245.3
EP02-Cell0052,-77.2,-0.2,8.6,0.2,246.1
EP02-Cell0053,-197.2,-0.2,-111.4,0.2,246.1
EP02-Cell0054,-317.2,-0.2,-231.4,0.2,246.1
EP02-Cell0055,-86.4,-0.6,-0.6,0.6,231.6
EP02-Cell0056,-206.4,-0.6,-120.6,0.6,231.6
EP02-Cell0057,-326.4,-0.6,-240.6,0.6,231.6
EP03-Cell0001,-111.2,-0.5,0,0.5,220.5
EP03-Cell0002,-231.2,-0.5,-120,0.5,220.5
EP03-Cell0003,-351.2,-0.5,-240,0.5,220.5
EP03-Cell0004,-112.1,-0.5,-0.9,0.5,220
EP03-Cell0005,-232.1,-0.5,-120.9,0.5,220
EP03-Cell0006,-352.1,-0.5,-240.9,0.5,220
EP03-Cell0007,-110,-0.2,1.2,0.2,236.5
EP03-Cell0008,-230,-0.2,-118.8,0.2,236.5
EP03-Cell0009,-350,-0.2,-238.8,0.2,236.5
EP03-Cell0010,-117.7,-0.7,-6.5,0.7,235.6
EP03-Cell0011,-237.7,-0.7,-126.5,0.7,235.6
EP03-Cell0012,-357.7,-0.7,-246.5,0.7,235.6
EP03-Cell0013,-117.5,-0.7,-6.3,0.7,225.1
EP03-Cell0014,-237.5,-0.7,-126.3,0.7,225.1
EP03-Cell0015,-357.5,-0.7,-246.3,0.7,225.1
EP03-Cell0016,-105.7,-0.3,5.5,0.3,231.5
EP03-Cell0017,-225.7,-0.3,-114.5,0.3,231.5
EP03-Cell0018,-345.7,-0.3,-234.5,0.3,231.5
