link,azimuth_bs_imt,elevation_bs_imt,azimuth_ep_fs,elevation_ep_fs,path_loss_db
EP08-Cell0036,-213.9,-0.2,-245.1,0.2,249.7
EP08-Cell0037,19.4,-0.3,-11.8,0.3,251.2
EP08-Cell0038,-100.6,-0.3,-131.8,0.3,251.2
EP08-Cell0039,-220.6,-0.3,-251.8,0.3,251.2
EP08-Cell0040,31.3,-0.6,0.1,0.6,235.3
EP08-Cell0041,-88.7,-0.6,-119.9,0.6,235.3
EP08-Cell0042,-208.7,-0.6,-239.9,0.6,235.3
EP08-Cell0043,40.9,-0.8,9.7,0.8,247.2
EP08-Cell0044,-79.1,-0.8,-110.3,0.8,247.2
EP08-Cell0045,-199.1,-0.8,-230.3,0.8,247.2
EP08-Cell0046,39.2,-0.4,8,0.4,250.4
EP08-Cell0047,-80.8,-0.4,-112,0.4,250.4
EP08-Cell0048,-200.8,-0.4,-232,0.4,250.4
EP08-Cell0049,31.1,-0.2,-0.1,0.2,250.4
EP08-Cell0050,-88.9,-0.2,-120.1,0.2,250.4
EP08-Cell0051,-208.9,-0.2,-240.1,0.2,250.4
EP08-Cell0052,23,-0.2,-8.2,0.2,252.1
EP08-Cell0053,-97,-0.2,-128.2,0.2,252.1
EP08-Cell0054,-217,-0.2,-248.2,0.2,252.1
EP08-Cell0055,21.5,-0.7,-9.7,0.7,236.4
EP08-Cell0056,-98.5,-0.7,-129.7,0.7,236.4
EP08-Cell0057,-218.5,-0.7,-249.7,0.7,236.4
EP09-Cell0001,41,-0.1,0,0.1,235.5
EP09-Cell0002,-79,-0.1,-120,0.1,235.5
EP09-Cell0003,-199,-0.1,-240,0.1,235.5
EP09-Cell0004,38.5,-0.2,-2.5,0.2,231.2
EP09-Cell0005,-81.5,-0.2,-122.5,0.2,231.2
EP09-Cell0006,-201.5,-0.2,-242.5,0.2,231.2
EP09-Cell0007,43,0.1,2,-0.1,249.7
EP09-Cell0008,-77,0.1,-118,-0.1,249.7
EP09-Cell0009,-197,0.1,-238,-0.1,249.7
EP09-Cell0010,45.7,-0.4,4.7,0.4,234.3
EP09-Cell0011,-74.3,-0.4,-115.3,0.4,234.3
EP09-Cell0012,-194.3,-0.4,-235.3,0.4,234.3
EP09-Cell0013,47.4,-0.3,6.4,0.3,234.8
EP09-Cell0014,-72.6,-0.3,-113.6,0.3,234.8
EP09-Cell0015,-192.6,-0.3,-233.6,0.3,234.8
EP09-Cell0016,34.4,0,-6.6,0,240.3
EP09-Cell0017,-85.6,0,-126.6,0,240.3
EP09-Cell0018,-205.6,0,-246.6,0,240.3
EP09-Cell0019,37.1,0,-3.9,0,236.6
EP09-Cell0020,-82.9,0,-123.9,0,236.6
EP09-Cell0021,-202.9,0,-243.9,0,236.6
EP09-Cell0022,35.4,-0.1,-5.6,0.1,233.8
EP09-Cell0023,-84.6,-0.1,-125.6,0.1,233.8
EP09-Cell0024,-204.6,-0.1,-245.6,0.1,233.8
EP09-Cell0025,51.3,-0.6,10.3,0.6,199.5
EP09-Cell0026,-68.7,-0.6,-109.7,0.6,199.5
EP09-Cell0027,-188.7,-0.6,-229.7,0.6,199.5
EP09-Cell0028,53.4,0.1,12.4,-0.1,251.3
EP09-Cell0029,-66.6,0.1,-107.6,-0.1,251.3
EP09-Cell0030,-186.6,0.1,-227.6,-0.1,251.3
EP09-Cell0031,44.7,-0.1,3.7,0.1,238
EP09-Cell0032,-75.3,-0.1,-116.3,0.1,238
EP09-Cell0033,-195.3,-0.1,-236.3,0.1,238
EP09-Cell0034,33.8,0.3,-7.2,-0.3,244.7
EP09-Cell0035,-86.2,0.3,-127.2,-0.3,244.7
EP09-Cell0036,-206.2,0.3,-247.2,-0.3,244.7
EP09-Cell0037,27.7,0.2,-13.3,-0.2,248.2
EP09-Cell0038,-92.3,0.2,-133.3,-0.2,248.2
EP09-Cell0039,-212.3,0.2,-253.3,-0.2,248.2
EP09-Cell0040,43.6,0,2.6,0,234.2
EP09-Cell0041,-76.4,0,-117.4,0,234.2
EP09-Cell0042,-196.4,0,-237.4,0,234.2
EP09-Cell0043,52.5,-0.3,11.5,0.3,238.6
EP09-Cell0044,-67.5,-0.3,-108.5,0.3,238.6
EP09-Cell0045,-187.5,-0.3,-228.5,0.3,238.6
EP09-Cell0046,48.7,0,7.7,0,241.9
EP09-Cell0047,-71.3,0,-112.3,0,241.9
EP09-Cell0048,-191.3,0,-232.3,0,241.9
EP09-Cell0049,39.3,0.2,-1.7,-0.2,245.1
EP09-Cell0050,-80.7,0.2,-121.7,-0.2,245.1
EP09-Cell0051,-200.7,0.2,-241.7,-0.2,245.1
EP09-Cell0052,31,0.3,-10,-0.3,247.7
EP09-Cell0053,-89,0.3,-130,-0.3,247.7
EP09-Cell0054,-209,0.3,-250,-0.3,247.7
EP09-Cell0055,31.1,-0.2,-9.9,0.2,235
EP09-Cell0056,-88.9,-0.2,-129.9,0.2,235
EP09-Cell0057,-208.9,-0.2,-249.9,0.2,235
EP10-Cell0001,58.2,-0.2,0,0.2,240.3
EP10-Cell0002,-61.8,-0.2,-120,0.2,240.3
EP10-Cell0003,-181.8,-0.2,-240,0.2,240.3
EP10-Cell0004,57.8,-0.3,-0.4,0.3,238.5
EP10-Cell0005,-62.2,-0.3,-120.4,0.3,238.5
EP10-Cell0006,-182.2,-0.3,-240.4,0.3,238.5
EP10-Cell0007,58.5,0,0.3,0,251.6
EP10-Cell0008,-61.5,0,-119.7,0,251.6
EP10-Cell0009,-181.5,0,-239.7,0,251.6
EP10-Cell0010,64.3,-0.5,6.1,0.5,235.3
EP10-Cell0011,-55.7,-0.5,-113.9,0.5,235.3
EP10-Cell0012,-175.7,-0.5,-233.9,0.5,235.3
EP10-Cell0013,63.9,-0.4,5.7,0.4,236.8
EP10-Cell0014,-56.1,-0.4,-114.3,0.4,236.8
EP10-Cell0015,-176.1,-0.4,-234.3,0.4,236.8
EP10-Cell0016,51.8,-0.1,-6.4,0.1,246.9
EP10-Cell0017,-68.2,-0.1,-126.4,0.1,246.9
EP10-Cell0018,-188.2,-0.1,-246.4,0.1,246.9
EP10-Cell0019,52.8,-0.1,-5.4,0.1,243.7
EP10-Cell0020,-67.2,-0.1,-125.4,0.1,243.7
EP10-Cell0021,-187.2,-0.1,-245.4,0.1,243.7
EP10-Cell0022,57.4,-0.2,-0.8,0.2,239.6
EP10-Cell0023,-62.6,-0.2,-120.8,0.2,239.6
EP10-Cell0024,-182.6,-0.2,-240.8,0.2,239.6
EP10-Cell0025,71.1,-0.7,12.9,0.7,233.7
EP10-Cell0026,-48.9,-0.7,-107.1,0.7,233.7
EP10-Cell0027,-168.9,-0.7,-227.1,0.7,233.7
EP10-Cell0028,69,0,10.8,0,253.1
EP10-Cell0029,-51,0,-109.2,0,253.1
EP10-Cell0030,-171,0,-229.2,0,253.1
EP10-Cell0031,58.7,-0.2,0.5,0.2,242
EP10-Cell0032,-61.3,-0.2,-119.5,0.2,242
EP10-Cell0033,-181.3,-0.2,-239.5,0.2,242
EP10-Cell0034,48.1,0.2,-10.1,-0.2,252.5
EP10-Cell0035,-71.9,0.2,-130.1,-0.2,252.5
EP10-Cell0036,-191.9,0.2,-250.1,-0.2,252.5
EP10-Cell0037,44.9,0.2,-13.3,-0.2,250.1
EP10-Cell0038,-75.1,0.2,-133.3,-0.2,250.1
EP10-Cell0039,-195.1,0.2,-253.3,-0.2,250.1
EP10-Cell0040,64.8,-0.1,6.6,0.1,237.1
EP10-Cell0041,-55.2,-0.1,-113.4,0.1,237.1
EP10-Cell0042,-175.2,-0.1,-233.4,0.1,237.1
EP10-Cell0043,69.9,-0.4,11.7,0.4,238.2
EP10-Cell0044,-50.1,-0.4,-108.3,0.4,238.2
EP10-Cell0045,-170.1,-0.4,-228.3,0.4,238.2
EP10-Cell0046,63.6,-0.1,5.4,0.1,248.7
EP10-Cell0047,-56.4,-0.1,-114.6,0.1,248.7
EP10-Cell0048,-176.4,-0.1,-234.6,0.1,248.7
EP10-Cell0049,53.6,0.1,-4.6,-0.1,251.3
EP10-Cell0050,-66.4,0.1,-124.6,-0.1,251.3
EP10-Cell0051,-186.4,0.1,-244.6,-0.1,251.3
EP10-Cell0052,46.7,0.2,-11.5,-0.2,250.3
EP10-Cell0053,-73.3,0.2,-131.5,-0.2,250.3
EP10-Cell0054,-193.3,0.2,-251.5,-0.2,250.3
EP10-Cell0055,50.6,-0.3,-7.6,0.3,241.2
EP10-Cell0056,-69.4,-0.3,-127.6,0.3,241.2
EP10-Cell0057,-189.4,-0.3,-247.6,0.3,241.2
EP11-Cell0001,74.9,0.1,0,-0.1,236.2
EP11-Cell0002,-45.1,0.1,-120,-0.1,236.2
EP11-Cell0003,-165.1,0.1,-240,-0.1,236.2
EP11-Cell0004,76.6,0,1.7,0,235
EP11-Cell0005,-43.4,0,-118.3,0,235
EP11-Cell0006,-163.4,0,-238.3,0,235
EP11-Cell0007,73.4,0.3,-1.5,-0.3,242.1
EP11-Cell0008,-46.6,0.3,-121.5,-0.3,242.1
EP11-Cell0009,-166.6,0.3,-241.5,-0.3,242.1
EP11-Cell0010,81.3,-0.2,6.4,0.2,228.7
EP11-Cell0011,-38.7,-0.2,-113.6,0.2,228.7
EP11-Cell0012,-158.7,-0.2,-233.6,0.2,228.7
EP11-Cell0013,79.2,-0.1,4.3,0.1,236.1
EP11-Cell0014,-40.8,-0.1,-115.7,0.1,236.1
EP11-Cell0015,-160.8,-0.1,-235.7,0.1,236.1
EP11-Cell0016,69.8,0.2,-5.1,-0.2,237.4
EP11-Cell0017,-50.2,0.2,-125.1,-0.2,237.4
EP11-Cell0018,-170.2,0.2,-245.1,-0.2,237.4
EP11-Cell0019,68.8,0.1,-6.1,-0.1,236.6
EP11-Cell0020,-51.2,0.1,-126.1,-0.1,236.6
EP11-Cell0021,-171.2,0.1,-246.1,-0.1,236.6
EP11-Cell0022,78.9,0.1,4,-0.1,234.1
EP11-Cell0023,-41.1,0.1,-116,-0.1,234.1
EP11-Cell0024,-161.1,0.1,-236,-0.1,234.1
EP11-Cell0025,88,-0.3,13.1,0.3,224.6
EP11-Cell0026,-32,-0.3,-106.9,0.3,224.6
EP11-Cell0027,-152,-0.3,-226.9,0.3,224.6
EP11-Cell0028,82.9,0.3,8,-0.3,251.5
EP11-Cell0029,-37.1,0.3,-112,-0.3,251.5
EP11-Cell0030,-157.1,0.3,-232,-0.3,251.5
EP11-Cell0031,72.3,0.1,-2.6,-0.1,236.6
EP11-Cell0032,-47.7,0.1,-122.6,-0.1,236.6
EP11-Cell0033,-167.7,0.1,-242.6,-0.1,236.6
EP11-Cell0034,63.2,0.4,-11.7,-0.4,243.8
EP11-Cell0035,-56.8,0.4,-131.7,-0.4,243.8
EP11-Cell0036,-176.8,0.4,-251.7,-0.4,243.8
EP11-Cell0037,63.8,0.5,-11.1,-0.5,245.5
EP11-Cell0038,-56.2,0.5,-131.1,-0.5,245.5
EP11-Cell0039,-176.2,0.5,-251.1,-0.5,245.5
EP11-Cell0040,83.9,0.2,9,-0.2,235.1
EP11-Cell0041,-36.1,0.2,-111,-0.2,235.1
EP11-Cell0042,-156.1,0.2,-231,-0.2,235.1
EP11-Cell0043,85.2,-0.2,10.3,0.2,234.8
EP11-Cell0044,-34.8,-0.2,-109.7,0.2,234.8
EP11-Cell0045,-154.8,-0.2,-229.7,0.2,234.8
EP11-Cell0046,77.5,0.1,2.6,-0.1,244.9
EP11-Cell0047,-42.5,0.1,-117.4,-0.1,244.9
EP11-Cell0048,-162.5,0.1,-237.4,-0.1,244.9
EP11-Cell0049,68,0.4,-6.9,-0.4,243.1
EP11-Cell0050,-52,0.4,-126.9,-0.4,243.1
EP11-Cell0051,-172,0.4,-246.9,-0.4,243.1
EP11-Cell0052,63.5,0.5,-11.4,-0.5,245.1
EP11-Cell0053,-56.5,0.5,-131.4,-0.5,245.1
EP11-Cell0054,-176.5,0.5,-251.4,-0.5,245.1
EP11-Cell0055,71,0,-3.9,0,234.5
EP11-Cell0056,-49,0,-123.9,0,234.5
EP11-Cell0057,-169,0,-243.9,0,234.5
EP12-Cell0001,80.6,-0.1,0,0.1,235.5
EP12-Cell0002,-39.4,-0.1,-120,0.1,235.5
EP12-Cell0003,-159.4,-0.1,-240,0.1,235.5
EP12-Cell0004,83.3,-0.1,2.7,0.1,234.5
EP12-Cell0005,-36.7,-0.1,-117.3,0.1,234.5
EP12-Cell0006,-156.7,-0.1,-237.3,0.1,234.5
EP12-Cell0007,78.5,0.2,-2.1,-0.2,243.5
EP12-Cell0008,-41.5,0.2,-122.1,-0.2,243.5
EP12-Cell0009,-161.5,0.2,-242.1,-0.2,243.5
EP12-Cell0010,87.7,-0.3,7.1,0.3,235.1
EP12-Cell0011,-32.3,-0.3,-112.9,0.3,235.1
EP12-Cell0012,-152.3,-0.3,-232.9,0.3,235.1
EP12-Cell0013,84.8,-0.2,4.2,0.2,236.4
EP12-Cell0014,-35.2,-0.2,-115.8,0.2,236.4
EP12-Cell0015,-155.2,-0.2,-235.8,0.2,236.4
EP12-Cell0016,75.6,0.1,-5,-0.1,238.6
EP12-Cell0017,-44.4,0.1,-125,-0.1,238.6
EP12-Cell0018,-164.4,0.1,-245,-0.1,238.6
EP12-Cell0019,73.8,0,-6.8,0,238.9
EP12-Cell0020,-46.2,0,-126.8,0,238.9
EP12-Cell0021,-166.2,0,-246.8,0,238.9
EP12-Cell0022,86.8,0,6.2,0,233.3
EP12-Cell0023,-33.2,0,-113.8,0,233.3
EP12-Cell0024,-153.2,0,-233.8,0,233.3
EP12-Cell0025,94.9,-0.5,14.3,0.5,234.6
EP12-Cell0026,-25.1,-0.5,-105.7,0.5,234.6
EP12-Cell0027,-145.1,-0.5,-225.7,0.5,234.6
EP12-Cell0028,88.3,0.2,7.7,-0.2,253.1
EP12-Cell0029,-31.7,0.2,-112.3,-0.2,253.1
EP12-Cell0030,-151.7,0.2,-232.3,-0.2,253.1
EP12-Cell0031,76.7,0,-3.9,0,238.3
EP12-Cell0032,-43.3,0,-123.9,0,238.3
EP12-Cell0033,-163.3,0,-243.9,0,238.3
EP12-Cell0034,67.5,0.4,-13.1,-0.4,245.9
EP12-Cell0035,-52.5,0.4,-133.1,-0.4,245.9
EP12-Cell0036,-172.5,0.4,-253.1,-0.4,245.9
EP12-Cell0037,69.5,0.4,-11.1,-0.4,245.9
EP12-Cell0038,-50.5,0.4,-131.1,-0.4,245.9
EP12-Cell0039,-170.5,0.4,-251.1,-0.4,245.9
EP12-Cell0040,91.4,0.1,10.8,-0.1,234.4
EP12-Cell0041,-28.6,0.1,-109.2,-0.1,234.4
EP12-Cell0042,-148.6,0.1,-229.2,-0.1,234.4
EP12-Cell0043,91.3,-0.3,10.7,0.3,236.3
EP12-Cell0044,-28.7,-0.3,-109.3,0.3,236.3
EP12-Cell0045,-148.7,-0.3,-229.3,0.3,236.3
EP12-Cell0046,82.4,0,1.8,0,241
EP12-Cell0047,-37.6,0,-118.2,0,241
EP12-Cell0048,-157.6,0,-238.2,0,241
EP12-Cell0049,72.4,0.3,-8.2,-0.3,245.3
EP12-Cell0050,-47.6,0.3,-128.2,-0.3,245.3
EP12-Cell0051,-167.6,0.3,-248.2,-0.3,245.3
EP12-Cell0052,68.3,0.4,-12.3,-0.4,247
EP12-Cell0053,-51.7,0.4,-132.3,-0.4,247
EP12-Cell0054,-171.7,0.4,-252.3,-0.4,247
EP12-Cell0055,77.8,-0.2,-2.8,0.2,233.4
EP12-Cell0056,-42.2,-0.2,-122.8,0.2,233.4
EP12-Cell0057,-162.2,-0.2,-242.8,0.2,233.4
EP13-Cell0001,94.4,0.3,0,-0.3,236.8
EP13-Cell0002,-25.6,0.3,-120,-0.3,236.8
EP13-Cell0003,-145.6,0.3,-240,-0.3,236.8
EP13-Cell0004,98.1,0.3,3.7,-0.3,235.3
EP13-Cell0005,-21.9,0.3,-116.3,-0.3,235.3
EP13-Cell0006,-141.9,0.3,-236.3,-0.3,235.3
EP13-Cell0007,91.4,0.5,-3,-0.5,237.6
EP13-Cell0008,-28.6,0.5,-123,-0.5,237.6
EP13-Cell0009,-148.6,0.5,-243,-0.5,237.6
EP13-Cell0010,100.4,0.1,6,-0.1,237
EP13-Cell0011,-19.6,0.1,-114,-0.1,237
EP13-Cell0012,-139.6,0.1,-234,-0.1,237
EP13-Cell0013,96.9,0.2,2.5,-0.2,237.7
EP13-Cell0014,-23.1,0.2,-117.5,-0.2,237.7
EP13-Cell0015,-143.1,0.2,-237.5,-0.2,237.7
EP13-Cell0016,91.4,0.5,-3,-0.5,236.8
EP13-Cell0017,-28.6,0.5,-123,-0.5,236.8
EP13-Cell0018,-148.6,0.5,-243,-0.5,236.8
EP13-Cell0019,88.4,0.4,-6,-0.4,236.9
EP13-Cell0020,-31.6,0.4,-126,-0.4,236.9
EP13-Cell0021,-151.6,0.4,-246,-0.4,236.9
EP13-Cell0022,102.5,0.4,8.1,-0.4,235.3
EP13-Cell0023,-17.5,0.4,-111.9,-0.4,235.3
EP13-Cell0024,-137.5,0.4,-231.9,-0.4,235.3
EP13-Cell0025,106.2,0,11.8,0,230.4
EP13-Cell0026,-13.8,0,-108.2,0,230.4
EP13-Cell0027,-133.8,0,-228.2,0,230.4
EP13-Cell0028,99,0.5,4.6,-0.5,250.7
EP13-Cell0029,-21,0.5,-115.4,-0.5,250.7
EP13-Cell0030,-141,0.5,-235.4,-0.5,250.7
EP13-Cell0031,88.8,0.3,-5.6,-0.3,225.8
EP13-Cell0032,-31.2,0.3,-125.6,-0.3,225.8
EP13-Cell0033,-151.2,0.3,-245.6,-0.3,225.8
EP13-Cell0034,82.3,0.7,-12.1,-0.7,228.9
EP13-Cell0035,-37.7,0.7,-132.1,-0.7,228.9
EP13-Cell0036,-157.7,0.7,-252.1,-0.7,228.9
EP13-Cell0037,87.8,0.8,-6.6,-0.8,233.2
EP13-Cell0038,-32.2,0.8,-126.6,-0.8,233.2
EP13-Cell0039,-152.2,0.8,-246.6,-0.8,233.2
EP13-Cell0040,104.6,0.5,10.2,-0.5,236.3
EP13-Cell0041,-15.4,0.5,-109.8,-0.5,236.3
EP13-Cell0042,-135.4,0.5,-229.8,-0.5,236.3
EP13-Cell0043,102.3,0.1,7.9,-0.1,237.3
EP13-Cell0044,-17.7,0.1,-112.1,-0.1,237.3
EP13-Cell0045,-137.7,0.1,-232.1,-0.1,237.3
EP13-Cell0046,93.9,0.4,-0.5,-0.4,238.3
EP13-Cell0047,-26.1,0.4,-120.5,-0.4,238.3
EP13-Cell0048,-146.1,0.4,-240.5,-0.4,238.3
EP13-Cell0049,85.8,0.6,-8.6,-0.6,230.7
EP13-Cell0050,-34.2,0.6,-128.6,-0.6,230.7
EP13-Cell0051,-154.2,0.6,-248.6,-0.6,230.7
EP13-Cell0052,84.8,0.8,-9.6,-0.8,229.5
EP13-Cell0053,-35.2,0.8,-129.6,-0.8,229.5
EP13-Cell0054,-155.2,0.8,-249.6,-0.8,229.5
EP13-Cell0055,95.2,0.3,0.8,-0.3,233.5
EP13-Cell0056,-24.8,0.3,-119.2,-0.3,233.5
EP13-Cell0057,-144.8,0.3,-239.2,-0.3,233.5
EP14-Cell0001,114.3,0,0,0,198.8
EP14-Cell0002,-5.7,0,-120,0,198.8
EP14-Cell0003,-125.7,0,-240,0,198.8
EP14-Cell0004,121.8,0,7.5,0,220.1
EP14-Cell0005,1.8,0,-112.5,0,220.1
EP14-Cell0006,-118.2,0,-232.5,0,220.1
EP14-Cell0007,107.9,0.3,-6.4,-0.3,228
EP14-Cell0008,-12.1,0.3,-126.4,-0.3,228
EP14-Cell0009,-132.1,0.3,-246.4,-0.3,228
EP14-Cell0010,121.7,-0.2,7.4,0.2,209.5
EP14-Cell0011,1.7,-0.2,-112.6,0.2,209.5
EP14-Cell0012,-118.3,-0.2,-232.6,0.2,209.5
EP14-Cell0013,115.1,-0.2,0.8,0.2,199.9
EP14-Cell0014,-4.9,-0.2,-119.2,0.2,199.9
EP14-Cell0015,-124.9,-0.2,-239.2,0.2,199.9
EP14-Cell0016,113.1,0.3,-1.2,-0.3,232.4
EP14-Cell0017,-6.9,0.3,-121.2,-0.3,232.4
EP14-Cell0018,-126.9,0.3,-241.2,-0.3,232.4
EP14-Cell0019,105.9,0.1,-8.4,-0.1,214
EP14-Cell0020,-14.1,0.1,-128.4,-0.1,214
EP14-Cell0021,-134.1,0.1,-248.4,-0.1,214
EP14-Cell0022,130.7,0.1,16.4,-0.1,200.3
EP14-Cell0023,10.7,0.1,-103.6,-0.1,200.3
EP14-Cell0024,-109.3,0.1,-223.6,-0.1,200.3
EP14-Cell0025,128.2,-0.4,13.9,0.4,199.9
EP14-Cell0026,8.2,-0.4,-106.1,0.4,199.9
EP14-Cell0027,-111.8,-0.4,-226.1,0.4,199.9
EP14-Cell0028,115.8,0.3,1.5,-0.3,249.2
EP14-Cell0029,-4.2,0.3,-118.5,-0.3,249.2
EP14-Cell0030,-124.2,0.3,-238.5,-0.3,249.2
EP14-Cell0031,102.7,0,-11.6,0,200.2
EP14-Cell0032,-17.3,0,-131.6,0,200.2
EP14-Cell0033,-137.3,0,-251.6,0,200.2
EP14-Cell0034,96.7,0.6,-17.6,-0.6,229.8
EP14-Cell0035,-23.3,0.6,-137.6,-0.6,229.8
EP14-Cell0036,-143.3,0.6,-257.6,-0.6,229.8
EP14-Cell0037,111.4,0.7,-2.9,-0.7,196.1
EP14-Cell0038,-8.6,0.7,-122.9,-0.7,196.1
EP14-Cell0039,-128.6,0.7,-242.9,-0.7,196.1
EP14-Cell0040,129.3,0.2,15,-0.2,220.9
EP14-Cell0041,9.3,0.2,-105,-0.2,220.9
EP14-Cell0042,-110.7,0.2,-225,-0.2,220.9
EP14-Cell0043,121.6,-0.2,7.3,0.2,212.7
EP14-Cell0044,1.6,-0.2,-112.7,0.2,212.7
EP14-Cell0045,-118.4,-0.2,-232.7,0.2,212.7
EP14-Cell0046,109.5,0.1,-4.8,-0.1,224.5
EP14-Cell0047,-10.5,0.1,-124.8,-0.1,224.5
EP14-Cell0048,-130.5,0.1,-244.8,-0.1,224.5
EP14-Cell0049,100.1,0.5,-14.2,-0.5,210.4
EP14-Cell0050,-19.9,0.5,-134.2,-0.5,210.4
EP14-Cell0051,-139.9,0.5,-254.2,-0.5,210.4
EP14-Cell0052,103,0.7,-11.3,-0.7,222.3
EP14-Cell0053,-17,0.7,-131.3,-0.7,222.3
EP14-Cell0054,-137,0.7,-251.3,-0.7,222.3
EP14-Cell0055,122,-0.1,7.7,0.1,216.5
EP14-Cell0056,2,-0.1,-112.3,0.1,216.5
EP14-Cell0057,-118,-0.1,-232.3,0.1,216.5
EP15-Cell0001,118.9,0.4,0,-0.4,227.3
EP15-Cell0002,-1.1,0.4,-120,-0.4,227.3
EP15-Cell0003,-121.1,0.4,-240,-0.4,227.3
EP15-Cell0004,127.1,0.3,8.2,-0.3,198
EP15-Cell0005,7.1,0.3,-111.8,-0.3,198
EP15-Cell0006,-112.9,0.3,-231.8,-0.3,198
EP15-Cell0007,112,0.7,-6.9,-0.7,223.7
EP15-Cell0008,-8,0.7,-126.9,-0.7,223.7
EP15-Cell0009,-128,0.7,-246.9,-0.7,223.7
EP15-Cell0010,126.2,0.1,7.3,-0.1,199.2
EP15-Cell0011,6.2,0.1,-112.7,-0.1,199.2
EP15-Cell0012,-113.8,0.1,-232.7,-0.1,199.2
EP15-Cell0013,119.2,0.1,0.3,-0.1,199.7
EP15-Cell0014,-0.8,0.1,-119.7,-0.1,199.7
EP15-Cell0015,-120.8,0.1,-239.7,-0.1,199.7
EP15-Cell0016,118.5,0.7,-0.4,-0.7,197.6
EP15-Cell0017,-1.5,0.7,-120.4,-0.7,197.6
EP15-Cell0018,-121.5,0.7,-240.4,-0.7,197.6
EP15-Cell0019,110.5,0.5,-8.4,-0.5,198.1
EP15-Cell0020,-9.5,0.5,-128.4,-0.5,198.1
EP15-Cell0021,-129.5,0.5,-248.4,-0.5,198.1
EP15-Cell0022,136.5,0.5,17.6,-0.5,197.6
EP15-Cell0023,16.5,0.5,-102.4,-0.5,197.6
EP15-Cell0024,-103.5,0.5,-222.4,-0.5,197.6
EP15-Cell0025,132.4,-0.1,13.5,0.1,199.8
EP15-Cell0026,12.4,-0.1,-106.5,0.1,199.8
EP15-Cell0027,-107.6,-0.1,-226.5,0.1,199.8
EP15-Cell0028,119.4,0.5,0.5,-0.5,241.9
EP15-Cell0029,-0.6,0.5,-119.5,-0.5,241.9
EP15-Cell0030,-120.6,0.5,-239.5,-0.5,241.9
EP15-Cell0031,106.1,0.3,-12.8,-0.3,199.9
EP15-Cell0032,-13.9,0.3,-132.8,-0.3,199.9
EP15-Cell0033,-133.9,0.3,-252.8,-0.3,199.9
EP15-Cell0034,101,1.1,-17.9,-1.1,205.2
EP15-Cell0035,-19,1.1,-137.9,-1.1,205.2
EP15-Cell0036,-139,1.1,-257.9,-1.1,205.2
EP15-Cell0037,118,1.3,-0.9,-1.3,195.7
EP15-Cell0038,-2,1.3,-120.9,-1.3,195.7
EP15-Cell0039,-122,1.3,-240.9,-1.3,195.7
EP15-Cell0040,134.1,0.5,15.2,-0.5,229.2
EP15-Cell0041,14.1,0.5,-104.8,-0.5,229.2
EP15-Cell0042,-105.9,0.5,-224.8,-0.5,229.2
EP15-Cell0043,125.6,0.1,6.7,-0.1,200.2
EP15-Cell0044,5.6,0.1,-113.3,-0.1,200.2
EP15-Cell0045,-114.4,0.1,-233.3,-0.1,200.2
EP15-Cell0046,113.1,0.4,-5.8,-0.4,221.6
EP15-Cell0047,-6.9,0.4,-125.8,-0.4,221.6
EP15-Cell0048,-126.9,0.4,-245.8,-0.4,221.6
EP15-Cell0049,103.9,0.8,-15,-0.8,204.6
EP15-Cell0050,-16.1,0.8,-135,-0.8,204.6
EP15-Cell0051,-136.1,0.8,-255,-0.8,204.6
EP15-Cell0052,108.4,1.2,-10.5,-1.2,204.8
EP15-Cell0053,-11.6,1.2,-130.5,-1.2,204.8
EP15-Cell0054,-131.6,1.2,-250.5,-1.2,204.8
EP15-Cell0055,128.4,0.4,9.5,-0.4,196.6
EP15-Cell0056,8.4,0.4,-110.5,-0.4,196.6
EP15-Cell0057,-111.6,0.4,-230.5,-0.4,196.6
EP16-Cell0001,141.4,0.3,0,-0.3,197.5
EP16-Cell0002,21.4,0.3,-120,-0.3,197.5
EP16-Cell0003,-98.6,0.3,-240,-0.3,197.5
EP16-Cell0004,-208.4,0.2,-349.8,-0.2,197.4
EP16-Cell0005,-328.4,0.2,-469.8,-0.2,197.4
EP16-Cell0006,-448.4,0.2,-589.8,-0.2,197.4
EP16-Cell0007,131.6,0.7,-9.8,-0.7,230
EP16-Cell0008,11.6,0.7,-129.8,-0.7,230
EP16-Cell0009,-108.4,0.7,-249.8,-0.7,230
EP16-Cell0010,147.1,0,5.7,0,198.6
EP16-Cell0011,27.1,0,-114.3,0,198.6
EP16-Cell0012,-92.9,0,-234.3,0,198.6
EP16-Cell0013,138.3,0.1,-3.1,-0.1,198.7
EP16-Cell0014,18.3,0.1,-123.1,-0.1,198.7
EP16-Cell0015,-101.7,0.1,-243.1,-0.1,198.7
EP16-Cell0016,145.7,0.7,4.3,-0.7,196.2
EP16-Cell0017,25.7,0.7,-115.7,-0.7,196.2
EP16-Cell0018,-94.3,0.7,-235.7,-0.7,196.2
EP16-Cell0019,133.8,0.5,-7.6,-0.5,208.5
EP16-Cell0020,13.8,0.5,-127.6,-0.5,208.5
EP16-Cell0021,-106.2,0.5,-247.6,-0.5,208.5
EP16-Cell0022,-198.1,0.4,-339.5,-0.4,232.1
EP16-Cell0023,-318.1,0.4,-459.5,-0.4,232.1
EP16-Cell0024,-438.1,0.4,-579.5,-0.4,232.1
EP16-Cell0025,-208.6,-0.2,-350,0.2,199.5
