scenario,i_dbm,imt_gain,fs_gain
EP05-Site15,-209.75373696543625,-50.41874332575493,-11.634993639681312
EP05-Site16,-233.34530728217882,-38.4103136424975,-11.634993639681312
EP05-Site17,-236.64548740997768,-13.310493770296375,-11.634993639681312
EP05-Site18,-232.96963664662138,-29.834643006940055,-11.634993639681312
EP05-Site19,-196.30814110688283,-0.7731474672015004,-11.634993639681312
EP06-Site01,-292.3367023081638,-53.20170866848251,-11.634993639681312
EP06-Site02,-183.21922016773084,-28.28422652804953,-11.634993639681312
EP06-Site03,-219.78292357133856,-22.247929931657243,-11.634993639681312
EP06-Site04,-187.44861114230758,-25.613617502626276,-11.634993639681312
EP06-Site05,-201.58458514563418,-36.84959150595288,-11.634993639681312
EP06-Site06,-191.36224940037837,-19.427255760697044,-11.634993639681312
EP06-Site07,-224.65254802121777,-50.217554381536445,-11.634993639681312
EP06-Site08,-173.38704676693925,-20.752053127257934,-11.634993639681312
EP06-Site09,-188.79801011692587,-35.36301647724453,-11.634993639681312
EP06-Site10,-234.42903879338408,-31.594045153702776,-11.634993639681312
EP06-Site11,-197.2983968601642,-9.363403220482866,-11.634993639681312
EP06-Site12,-224.83669103248894,-27.80169739280762,-11.634993639681312
EP06-Site13,-248.3114071416769,-51.276413501995606,-11.634993639681312
EP06-Site14,-193.28940959960227,-30.854415959920956,-11.634993639681312
EP06-Site15,-196.20287406940395,-25.76788042972262,-11.634993639681312
EP06-Site16,-209.3802321594772,-17.245238519795887,-11.634993639681312
EP06-Site17,-240.82994361820604,-38.09494997852473,-11.634993639681312
EP06-Site18,-270.30073043502955,-74.56573679534823,-11.634993639681312
EP06-Site19,-178.58636442458777,-24.05137078490646,-11.634993639681312
EP07-Site01,-246.61844571469933,-18.383452075018035,-11.634993639681312
EP07-Site02,-200.84330494592191,-19.008311306240607,-11.634993639681312
EP07-Site03,-237.69888588381906,-32.96389224413776,-11.634993639681312
EP07-Site04,-192.83828326893854,-25.703289629257235,-11.634993639681312
EP07-Site05,-224.87151533165203,-26.536521691970744,-11.634993639681312
EP07-Site06,-211.9946692919226,-19.9596756522413,-11.634993639681312
EP07-Site07,-253.62968668316722,-56.694693043485884,-11.634993639681312
EP07-Site08,-177.7776255351143,-13.642631895432995,-11.634993639681312
EP07-Site09,-176.15598445942027,-16.12099081973894,-11.634993639681312
EP07-Site10,-269.75726986216006,-30.022276222478734,-11.634993639681312
EP07-Site11,-252.4683129104824,-48.63331927080111,-11.634993639681312
EP07-Site12,-240.20048256090917,-23.565488921227868,-11.634993639681312
EP07-Site13,-217.29907555085273,-14.464081911171446,-11.634993639681312
EP07-Site14,-216.44520064198505,-25.51020700230372,-11.634993639681312
EP07-Site15,-221.54711111798883,-25.412117478307515,-11.634993639681312
EP07-Site16,-232.83498986990264,-31.499996230221328,-11.634993639681312
EP07-Site17,-239.27446097863017,-32.739467338948856,-11.634993639681312
EP07-Site18,-250.03060748977822,-28.395613850096893,-11.634993639681312
EP07-Site19,-218.43821987633146,-29.903226236650134,-11.634993639681312
EP08-Site01,-268.3254544033424,-53.690460763661115,-11.634993639681312
EP08-Site02,-182.0632277285016,-22.62823408882028,-11.634993639681312
EP08-Site03,-242.9777751374824,-37.9427814978011,-11.634993639681312
EP08-Site04,-174.87732265866563,-10.842329018984323,-11.634993639681312
EP08-Site05,-193.2834359204827,-24.648442280801376,-11.634993639681312
EP08-Site06,-244.8206322723252,-48.1856386326439,-11.634993639681312
EP08-Site07,-196.06576348387654,-11.930769844195225,-11.634993639681312
EP08-Site08,-210.22228461012492,-46.187290970443605,-11.634993639681312
EP08-Site09,-184.93871302929614,-22.603719389614852,-11.634993639681312
EP08-Site10,-230.59973791887884,-5.664744279197517,-11.634993639681312
EP08-Site11,-248.66959809109645,-51.03460445141514,-11.634993639681312
EP08-Site12,-242.4315046872875,-39.99651104760615,-11.634993639681312
EP08-Site13,-215.40683101369817,-13.07183737401686,-11.634993639681312
EP08-Site14,-192.13619014566987,-29.201196505988555,-11.634993639681312
EP08-Site15,-228.00291454913673,-28.867920909455417,-11.634993639681312
EP08-Site16,-245.36645648420537,-27.031462844524064,-11.634993639681312
EP08-Site17,-231.79661352270566,-29.36161988302433,-11.634993639681312
EP08-Site18,-257.9239877012364,-49.58899406155508,-11.634993639681312
EP08-Site19,-225.37682927139645,-60.74183563171514,-11.634993639681312
EP09-Site01,-231.0454222245669,-18.410428584885565,-11.634993639681312
EP09-Site02,-186.02019410658752,-25.685200466906235,-11.634993639681312
EP09-Site03,-216.37777618695492,-16.742782547273613,-11.634993639681312
EP09-Site04,-192.5143314931328,-30.979337853451494,-11.634993639681312
EP09-Site05,-183.18000942942143,-18.44501578974011,-11.634993639681312
EP09-Site06,-221.0523699819264,-49.117376342245066,-11.634993639681312
EP09-Site07,-193.04359493754544,-25.80860129786412,-11.634993639681312
EP09-Site08,-181.97413730197658,-21.93914366229526,-11.634993639681312
EP09-Site09,-169.2980788001253,-16.263085160443982,-11.634993639681312
EP09-Site10,-256.60872626115287,-41.57373262147156,-11.634993639681312
EP09-Site11,-196.34513581381196,-19.910142174130648,-11.634993639681312
EP09-Site12,-209.97324857938298,-11.638254939701685,-11.634993639681312
EP09-Site13,-198.93125943878604,-28.29626579910472,-11.634993639681312
EP09-Site14,-184.31895618750931,-23.483962547828007,-11.634993639681312
EP09-Site15,-210.67005925921237,-24.735065619531042,-11.634993639681312
EP09-Site16,-220.51206301859202,-25.077069378910704,-11.634993639681312
EP09-Site17,-259.2469418553826,-63.61194821570129,-11.634993639681312
EP09-Site18,-222.85850919295044,-27.723515553269124,-11.634993639681312
EP09-Site19,-211.20834375403155,-45.373350114350245,-11.634993639681312
EP10-Site01,-218.39064699592095,-4.655653356239631,-11.634993639681312
EP10-Site02,-183.5956584376896,-19.860664798008283,-11.634993639681312
EP10-Site03,-236.05950977416563,-64.12451613448432,-11.634993639681312
EP10-Site04,-191.5075734058049,-28.872579766123586,-11.634993639681312
EP10-Site05,-184.14157225877682,-13.80657861909552,-11.634993639681312
EP10-Site06,-212.07930308560043,-41.04430944591911,-11.634993639681312
EP10-Site07,-202.25546976504046,-36.920476125359144,-11.634993639681312
EP10-Site08,-198.78901383872687,-32.95402019904559,-11.634993639681312
EP10-Site09,-201.96865543439557,-41.13366179471427,-11.634993639681312
EP10-Site10,-248.8952266950654,-35.460233055384066,-11.634993639681312
EP10-Site11,-197.63875502521228,-27.003761385530964,-11.634993639681312
EP10-Site12,-253.00095073913263,-52.76595709945132,-11.634993639681312
EP10-Site13,-199.66560051312518,-30.330606873443884,-11.634993639681312
EP10-Site14,-182.7831904763306,-21.448196836649277,-11.634993639681312
EP10-Site15,-185.22484949006315,-14.989855850381836,-11.634993639681312
EP10-Site16,-233.225539172769,-32.5905455330877,-11.634993639681312
EP10-Site17,-171.27785524454873,2.6571383951326037,-11.634993639681312
EP10-Site18,-220.31100648485088,-42.476012845169585,-11.634993639681312
EP10-Site19,-229.72415737874428,-63.88916373906299,-11.634993639681312
