elevation_axis,g_plot
90.0,-36.545997474293166
89.74965229485396,-36.547995780915535
89.49930458970793,-36.553990706818055
89.24895688456189,-36.5639822592329
88.99860917941585,-36.577970414008846
88.74826147426982,-36.59595506145118
88.49791376912378,-36.6179359308125
88.24756606397774,-36.643912493795035
87.99721835883172,-36.673883847597914
87.74687065368568,-36.707848578265946
87.49652294853963,-36.74580460538817
87.24617524339361,-36.787749009566085
86.99582753824757,-36.833677844536204
86.74547983310153,-36.883585936406504
86.4951321279555,-36.93746667315555
86.24478442280946,-36.99531178836446
85.99443671766342,-37.057111144098336
85.74408901251738,-37.12285251893397
85.49374130737135,-37.19252140832545
85.24339360222531,-37.26610084579829
84.99304589707927,-37.34357125482667
84.74269819193324,-37.42491034264485
84.4923504867872,-37.51009304860694
84.24200278164116,-37.599091560978486
83.99165507649514,-37.691875417127946
83.7413073713491,-37.62405372638726
83.49095966620305,-37.28174316109054
83.24061196105703,-37.00053898701974
82.99026425591099,-36.785651525251396
82.73991655076495,-36.58575306899819
82.48956884561892,-36.40433165530589
82.23922114047288,-36.24312139006216
81.98887343532684,-36.074465635514635
81.73852573018081,-35.92451084118052
81.48817802503477,-35.78669712368029
81.23783031988873,-35.64369259032495
80.9874826147427,-35.513528555280814
80.73713490959666,-35.39491117160987
80.48678720445062,-35.28067777915245
80.2364394993046,-35.168850739636405
79.98609179415855,-35.06683838014496
79.73574408901251,-34.974175731935894
79.48539638386649,-34.89052168588099
79.23504867872045,-34.80835865546068
78.9847009735744,-34.73449181004811
78.73435326842838,-34.669627770750964
78.48400556328234,-34.613738192865654
78.2336578581363,-34.56685165075317
77.98331015299027,-34.52742009431236
77.73296244784423,-34.49473683381884
77.48261474269819,-34.47174787632655
77.23226703755216,-34.458643551135125
76.98191933240612,-34.455649878411506
76.73157162726008,-34.463026671324855
76.48122392211405,-34.48106625987507
76.23087621696801,-34.50890965913755
75.98052851182197,-34.54762836613479
75.73018080667595,-34.598275114511836
75.4798331015299,-34.661261055185804
75.22948539638386,-34.73703130248246
74.97913769123784,-34.82606648129072
74.7287899860918,-34.92888473599538
74.47844228094576,-35.04604422181226
